FIELD,GOVERNANCE,CHANGE REQUEST REQUIRED,OWNER,PURPOSE,MANUFACTURED ADHESIVE,MANUFACTURED PHASES,MANUFACTURED OLIGOMER,MANUFACTURED TOLL,PACKAGED ADHESIVE,PACKAGED OLIGOMER,PACKAGED TOLL,MANUFACTURED EQUIPMENT,MANUFACTURED EQU SUB ASSEMBLY,PURCHASED CHEMICAL RAWS,PURCHASED PACKAGING,PURCHASED EQUIPMENT RAWS,TRANSFERRED ADHESIVE ,TRANSFERFED OLIGOMER,TRANSFERRED CHEMICAL RAW MATERIAL,TRANSFERRED EQUPMENT 
PRODUCT TYPE,Global,YES,PRODUCT MANAGEMENT / FINANCE,Sales reporting code; Segments items into the different business units; Advanced pricing option,ADH,"ADH, OLI, TMN",OLI,TMN,ADH,OLI,TMN,EQU,EQU,"ADH, OLI, TMN","ADH, OLI, TMN, EQU",EQU,ADH,"ADH, OLI, TMN","ADH, OLI, TMN",EQU
MARKET SEGMENT,Global,YES,PRODUCT MANAGEMENT / FINANCE,Sales reporting code; Used to associate an item to a market; Advanced pricing option,BLK,OTH,PROVIDED BY PRODUCT MANAGEMENT,PROVIDED BY PRODUCT MANAGEMENT,PROVIDED BY PRODUCT MANAGEMENT,PROVIDED BY PRODUCT MANAGEMENT,PROVIDED BY PRODUCT MANAGEMENT,PROVIDED BY EQU BUSINESS DEV,PROVIDED BY EQU BUSINESS DEV,OTH,OTH,PROVIDED BY PRODUCT MANAGEMENT,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH
PRODUCT CLASSIFICATION,Global,YES,PRODUCT MANAGEMENT / FINANCE,Sales reporting code; Adds additional market-use granularity; Sets lead times; Advanced pricing option,"NEW,BLANK",BLANK,PROVIDED BY PRODUCT MANAGEMENT,PROVIDED BY PRODUCT MANAGEMENT,PROVIDED BY PRODUCT MANAGEMENT,PROVIDED BY PRODUCT MANAGEMENT,PROVIDED BY PRODUCT MANAGEMENT,PROVIDED BY EQU BUSINESS DEV,PROVIDED BY EQU BUSINESS DEV,BLANK,BLANK,PROVIDED BY PRODUCT MANAGEMENT,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH
SIS CD4,Global,YES,PRODUCT MANAGEMENT / FINANCE,Sales reporting code; Hides the R code to ship under the description; Advanced pricing option,BLANK,BLANK,BLANK / OR PROVIDED BY FINANCE,BLANK / OR PROVIDED BY FINANCE,BLANK / OR PROVIDED BY FINANCE,BLANK / OR PROVIDED BY FINANCE,BLANK / OR PROVIDED BY FINANCE,PROVIDED BY EQU BUSINESS DEV,PROVIDED BY EQU BUSINESS DEV,PROVIDED BY FINANCE,PROVIDED BY FINANCE,PROVIDED BY FINANCE,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH
SIS CD5,Global,YES,PRODUCT MANAGEMENT / FINANCE,Sales Reporting Code; Advanced pricing option,BLANK,BLANK,OG1,BLANK / OR PROVIDED BY FINANCE,BLANK / OR PROVIDED BY FINANCE,BLANK / OR PROVIDED BY FINANCE,BLANK / OR PROVIDED BY FINANCE,PROVIDED BY EQU BUSINESS DEV,PROVIDED BY EQU BUSINESS DEV,PROVIDED BY FINANCE,PROVIDED BY FINANCE,PROVIDED BY FINANCE,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH
PREFERRED CARRIER,Local,NO,CUSTOMER SERVICE,Set a preferred/default outbound shipping carrier,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
CAT CD6,Global,YES,PRODUCT MANAGEMENT,Current: Used to determine the type of branding present on the label. Intended: Item property used to group like items for sales purposes,BLANK,BLANK,BLANK,BLANK,PROVIDED BY PRODUCT MANAGEMENT,PROVIDED BY PRODUCT MANAGEMENT,PROVIDED BY PRODUCT MANAGEMENT,PROVIDED BY EQU BUSINESS DEV,PROVIDED BY EQU BUSINESS DEV,PROVIDED BY PRODUCT MANAGEMENT,PROVIDED BY PRODUCT MANAGEMENT,PROVIDED BY PRODUCT MANAGEMENT,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH
CAT CD7,Global,YES,PRODUCT MANAGEMENT / FINANCE,"Current: Used for Advanced pricing for Bomar 
Intended: Item property used to group like items for sales purposes","CO, COP","CO, OC",BLK,BLK,P&F,PROVIDED BY PRODUCT MANAGEMENT,PROVIDED BY PRODUCT MANAGEMENT,BLANK,BLANK,BLANK,BLANK,BLANK,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH
CAT CD8,Global,YES,PRODUCT MANAGEMENT,"Current: Used for birthday codes for OLI & ADH
Intended: Item property used to group like items for sales purposes",PROVIDED BY PRODUCT MANAGEMENT,BLANK,PROVIDED BY PRODUCT MANAGEMENT,PROVIDED BY PRODUCT MANAGEMENT,PROVIDED BY PRODUCT MANAGEMENT,PROVIDED BY PRODUCT MANAGEMENT,PROVIDED BY PRODUCT MANAGEMENT,PROVIDED BY EQU BUSINESS DEV,PROVIDED BY EQU BUSINESS DEV,BLANK,BLANK,BLANK,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH
CAT CD9,Global,YES,PRODUCT MANAGEMENT,This data also interacts with WERCS to print the appropriate Dymax or Hanarey brand on the adhesive labels,BLANK,BLANK,BLANK,BLANK,PROVIDED BY PRODUCT MANAGEMENT,BOM,BLANK,PROVIDED BY EQU BUSINESS DEV,PROVIDED BY EQU BUSINESS DEV,BLANK,BLANK,BLANK,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH
CATEGORY CODE 10,Global,YES,PRODUCT REGULATORY,Current use: PR to add specific language on GHS labels. ,BLANK1,BLANK1,BLANK1,BLANK1,PROVIDED BY PRODUCT MANAGEMENT,PROVIDED BY PRODUCT MANAGEMENT,PROVIDED BY PRODUCT MANAGEMENT,PROVIDED BY EQU BUSINESS DEV,PROVIDED BY EQU BUSINESS DEV,BLANK,BLANK,BLANK,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH
COMMODITY CLASS,Local,NO,SUPPLY CHAIN,"For Make Items they are ABC based on volume, for purchased items ABC codes based on $ purchasing consumption",C,PHS,C,PRODUCT TYPE DEPENDENT,PRODUCT TYPE DEPENDENT,PRODUCT TYPE DEPENDENT,PRODUCT TYPE DEPENDENT,PRODUCT TYPE DEPENDENT,PRODUCT TYPE DEPENDENT,PROVIDED BY SUPPLY CHAIN,PKG,PROVIDED BY SUPPLY CHAIN,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH
COMMODITY SUB CLASS,Local,NO,SUPPLY CHAIN,Purchasing reporting code; adds granularity to commodity class,BLANK,BLANK,BLANK,PRODUCT TYPE DEPENDENT,PRODUCT TYPE DEPENDENT,PRODUCT TYPE DEPENDENT,PRODUCT TYPE DEPENDENT,PRODUCT TYPE DEPENDENT,PRODUCT TYPE DEPENDENT,PROVIDED BY SUPPLY CHAIN,PROVIDED BY SUPPLY CHAIN,PROVIDED BY SUPPLY CHAIN,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH,INHERIT FROM SOURCE BRANCH
SUPPLIER REBATE CODE,Local,NO,SUPPLY CHAIN,Purchasing reporting code; Associates rebate agreements with suppliers ,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
MASTER PLANNING FAMILY,Global,YES,SUPPLY CHAIN,"Interacts with MRP, drives the intercompany transit times to back scheduled pick date off request date",WIP,WIP,WIP,WIP,FG,FG,FG,FG,FG,RAW,PKG,RAW,SOURCE BRANCH SPECIFIC CODE,SOURCE BRANCH SPECIFIC CODE,SOURCE BRANCH SPECIFIC CODE,SOURCE BRANCH SPECIFIC CODE
LANDED COST RULE,Local,NO,SUPPLY CHAIN,Determines purchasing costs that exceed actual item prices such as broker fees or commissions,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
PREFERRED CARRIER,Local,NO,SUPPLY CHAIN,Set a preferred/default inbound shipping carrier,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
SHIPPING CONDITIONS CODE,Global,YES,"EHS, SHIPPING",Indicates any special shipping conditions.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
SHIPPING COMMODITY CLASS,Local,NO,"SHIPPING, SUPPLY CHAIN","Categorizes items by property type/classification (e.g., intl shipment handling) for sorting/processing, mainly for inventory/shipping.",BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
CYCLE COUNT,Local,NO,S&OP / INVENTORY MANAGEMENT,Sets the cycle count interval,ANN,ANN,ANN,ANN,ANN,ANN,ANN,ANN,ANN,ANN,ANN,ANN,ANN,ANN,ANN,ANN
ITEM DIMENSION GROUP,Local,NO,SUPPLY CHAIN,Group items that share similar dimensions for warehousing purposes Ad-hoc equipment groupings,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,PROVIDED BY PRODCUT DEV,PROVIDED BY PRODCUT DEV,BLANK,BLANK,PROVIDED BY PRODCUT DEV,BLANK,BLANK,BLANK,INHERIT FROM SOURCE BRANCH
WAREHOUSE PROCESS GRP 1,Local,NO,OPERATIONS,Used to determine what cell an adhesive item is filled in to be able to split the production schedule into cells,BLANK,BLANK,BLANK,BLANK,PACKAGE SPECIFIC WORK CELL,PACKAGE SPECIFIC WORK CELL,PACKAGE SPECIFIC WORK CELL,BLANK,BLANK,PACKAGE SPECIFIC WORK CELL,PACKAGE SPECIFIC WORK CELL,PACKAGE SPECIFIC WORK CELL,PACKAGE SPECIFIC WORK CELL,PACKAGE SPECIFIC WORK CELL,BLANK,BLANK
WAREHOUSE PROCESS GRP 2,Global,YES,PRODUCT REGULATORY,Determines the appropriate label size and template to print for the item,15KG,15KG,15KG,15KG,PACKAGE SPECIFIC LABEL TEMPLATE,PACKAGE SPECIFIC LABEL TEMPLATE,PACKAGE SPECIFIC LABEL TEMPLATE,BLANK,BLANK,PACKAGE SPECIFIC LABEL TEMPLATE,PACKAGE SPECIFIC LABEL TEMPLATE,PACKAGE SPECIFIC LABEL TEMPLATE,PACKAGE SPECIFIC LABEL TEMPLATE,PACKAGE SPECIFIC LABEL TEMPLATE,BLANK,BLANK
WAREHOUSE PROCESS GRP 3,Global,YES,N/A,Currently no usage,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
ITEM POOL CODE,Local,NO,SUPPLY CHAIN,"Groups similar items for stock valuation purposes, ad-hoc equipment usage",BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,PROVIDED BY PRODCUT DEV,PROVIDED BY PRODCUT DEV,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,INHERIT FROM SOURCE BRANCH
ORDER POLICY,Local,NO,SUPPLY CHAIN / S&OP,"Order Policy Code is to adjust the way MRP buckets, calculates demand and suggests actions. A code that specifies the rules for inventory reordering in the Requirements Planning and Procurement systems. ",4,4,4,4,1,1,1,4,4,4,4,4,4,4,4,4
ORDER POLICY VALUE,Local,NO,SUPPLY CHAIN / S&OP,"Order Policy Code companion: Lot for Lot = batch size (EOC) or days to bucket demand (Order of Supply). For code 2: fixed order qty; code 4: days of net requirements; code 5: desired inventory level, triggers rate adjustment messages.",20,20,20,20,BLANK,BLANK,BLANK,20,20,42,42,42,42,42,42,42
PLANNING CODE,Local,NO,SUPPLY CHAIN / S&OP,"Determines if items are or are not planned by MRP, MPS or DRP",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
PLANNING FENCE RULE,Local,NO,SUPPLY CHAIN / S&OP,Rule that determines how MRP will review Demand,G,G,G,G,C,C,C,C,C,G,G,G,G,G,G,G
PLANNING FENCE,Local,NO,SUPPLY CHAIN / S&OP,"Time period setting firm/flexible planning boundaries to optimize forecasting/production, switching rules post-start (day 1 = next day), using working (mfg.) or calendar (purchased) days.",260,260,260,260,260,260,260,260,260,362,363,364,365,365,365,365
FREEZE FENCE,Local,NO,SUPPLY CHAIN / S&OP,"Freeze fence: Time period (from generation start, day 1 = next day) where MRP avoids suggesting new orders; uses working days (mfg.) or calendar days (purchased).",BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
MESSAGE DISPLAY FENCE,Local,NO,SUPPLY CHAIN / S&OP,The number of days after the generation start date within which the system should display order messages.,260,260,260,260,260,260,260,260,260,365,365,365,365,365,365,365
SUPPRESS MRP MESSAGES,Local,NO,SUPPLY CHAIN / S&OP,An option that allows you to specify whether you want the system to suppress or process MRP messages.,UNCHECKED,UNCHECKED,UNCHECKED,UNCHECKED,UNCHECKED,UNCHECKED,UNCHECKED,UNCHECKED,UNCHECKED,UNCHECKED,UNCHECKED,UNCHECKED,UNCHECKED,UNCHECKED,UNCHECKED,UNCHECKED
LEADTIME LEVEL,Local,NO,SUPPLY CHAIN / S&OP,"A value that represents the Leadtime for an item at its assigned level in the production process, as defined on Plant Manufacturing Data.",5,5,5,5,5,5,5,PROVIDED BY PRODCUT DEV,PROVIDED BY PRODCUT DEV,PROVIDED BY SUPPLY CHAIN,PROVIDED BY SUPPLY CHAIN,PROVIDED BY SUPPLY CHAIN,21,21,21,21
SETUP LABOR,Local,NO,OPERATIONS,The standard setup hours that you expect to incur in the normal completion of this item. This value is not affected by crew size.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
MOVE / QUEUE HOURS,Local,NO,OPERATIONS,The total hours that an order is expected to be in queue at work centers and moving between work centers.,BLANk,BLANk,BLANk,BLANk,BLANk,BLANk,BLANk,BLANk,BLANk,BLANk,BLANk,BLANk,BLANk,BLANk,BLANk,BLANk
ECO NUMBER,Local,NO,OPERATIONS,The number assigned to an engineering change order,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
